ID,Product ID,Name,Category,Unit,Price,Currency,Location,Date,Source,Variation,URL,Image
"demo_fruits_0_1755943625604","demo_fruits_0","Pomme Golden Bio","fruits","kg",2.89,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/pomme-golden-bio","https://example.com/images/pomme-golden.jpg"
"demo_fruits_1_1755943625605","demo_fruits_1","Pomme Golden Conventionnel","fruits","kg",2.07,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/pomme-golden-conventionnel","https://example.com/images/pomme-golden.jpg"
"demo_fruits_2_1755943625605","demo_fruits_2","Pomme Golden Premium","fruits","kg",2.74,"EUR","France","2025-08-23","demo","Premium","https://example.com/product/pomme-golden-premium","https://example.com/images/pomme-golden.jpg"
"demo_fruits_3_1755943625605","demo_fruits_3","Pomme Granny Smith Bio","fruits","kg",3.1,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/pomme-granny-smith-bio","https://example.com/images/pomme-granny-smith.jpg"
"demo_fruits_4_1755943625605","demo_fruits_4","Pomme Granny Smith Conventionnel","fruits","kg",2.81,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/pomme-granny-smith-conventionnel","https://example.com/images/pomme-granny-smith.jpg"
"demo_fruits_5_1755943625605","demo_fruits_5","Banane Bio","fruits","kg",2.26,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/banane-bio","https://example.com/images/banane.jpg"
"demo_fruits_6_1755943625605","demo_fruits_6","Banane Conventionnel","fruits","kg",1.72,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/banane-conventionnel","https://example.com/images/banane.jpg"
"demo_fruits_7_1755943625605","demo_fruits_7","Banane Équitable","fruits","kg",1.63,"EUR","France","2025-08-23","demo","Équitable","https://example.com/product/banane-équitable","https://example.com/images/banane.jpg"
"demo_fruits_8_1755943625605","demo_fruits_8","Orange Navel Bio","fruits","kg",1.76,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/orange-navel-bio","https://example.com/images/orange-navel.jpg"
"demo_fruits_9_1755943625605","demo_fruits_9","Orange Navel Conventionnel","fruits","kg",2.63,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/orange-navel-conventionnel","https://example.com/images/orange-navel.jpg"
"demo_fruits_10_1755943625605","demo_fruits_10","Orange Navel Espagne","fruits","kg",2.51,"EUR","France","2025-08-23","demo","Espagne","https://example.com/product/orange-navel-espagne","https://example.com/images/orange-navel.jpg"
"demo_fruits_11_1755943625605","demo_fruits_11","Fraise Bio","fruits","kg",3.68,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/fraise-bio","https://example.com/images/fraise.jpg"
"demo_fruits_12_1755943625605","demo_fruits_12","Fraise Conventionnel","fruits","kg",3.69,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/fraise-conventionnel","https://example.com/images/fraise.jpg"
"demo_fruits_13_1755943625605","demo_fruits_13","Fraise France","fruits","kg",4.94,"EUR","France","2025-08-23","demo","France","https://example.com/product/fraise-france","https://example.com/images/fraise.jpg"
"demo_fruits_14_1755943625605","demo_fruits_14","Raisin Blanc Bio","fruits","kg",3.52,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/raisin-blanc-bio","https://example.com/images/raisin-blanc.jpg"
"demo_fruits_15_1755943625605","demo_fruits_15","Raisin Blanc Conventionnel","fruits","kg",3.07,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/raisin-blanc-conventionnel","https://example.com/images/raisin-blanc.jpg"
"demo_fruits_16_1755943625605","demo_fruits_16","Raisin Blanc Italie","fruits","kg",3.74,"EUR","France","2025-08-23","demo","Italie","https://example.com/product/raisin-blanc-italie","https://example.com/images/raisin-blanc.jpg"
"demo_fruits_17_1755943625605","demo_fruits_17","Kiwi Bio","fruits","piece",0.48,"EUR","France","2025-08-23","demo","Bio","https://example.com/product/kiwi-bio","https://example.com/images/kiwi.jpg"
"demo_fruits_18_1755943625605","demo_fruits_18","Kiwi Conventionnel","fruits","piece",0.35,"EUR","France","2025-08-23","demo","Conventionnel","https://example.com/product/kiwi-conventionnel","https://example.com/images/kiwi.jpg"
